SalesDate,Volume,AvgTemperature,BrandPriceSegment,Cloc,TouristicPotential,MalePopulationPercentage,AvgIncome,DayOfWeek,IsInSeason,IsLegalHoliday,Trimester
2019-01-31,62.21359999999999,1.7999999999999983,,,8489.0,49.79644000000004,2427.0,5,False,False,1
2019-02-01,71.11039999999998,2.5,,,8907.0,49.79644000000005,2447.0,6,False,False,1
2019-02-02,82.20160000000003,4.0,,,8907.0,49.79644000000005,2447.0,7,False,False,1
2019-02-04,15.2,4.3,,,8907.0,49.796440000000004,2447.0,2,False,False,1
2019-02-05,143.44450000000006,3.599999999999996,,,8907.0,49.79644000000005,2447.0,3,False,False,1
2019-02-06,61.131799999999984,2.5,,,8907.0,49.79644000000005,2447.0,4,False,False,1
2019-02-07,55.42380000000002,0.899999999999999,,,8907.0,49.79644000000005,2447.0,5,False,False,1
2019-02-08,331.7817999999999,0.30000000000000043,,,8907.0,49.796440000000054,2447.0,6,False,False,1
2019-02-09,43.115199999999994,-0.3000000000000004,,,8907.0,49.79644000000005,2447.0,7,False,False,1
2019-02-11,294.8872,2.5,,,8907.0,49.79644000000001,2447.0,2,False,False,1
2019-02-12,143.88340000000008,1.299999999999998,,,8907.0,49.796440000000054,2447.0,3,False,False,1
2019-02-13,54.96899999999998,-0.09999999999999987,,,8907.0,49.79644000000005,2447.0,4,False,False,1
2019-02-14,121.10999999999999,0.1999999999999997,,,8907.0,49.796440000000054,2447.0,5,False,False,1
2019-02-15,71.20939999999999,1.2000000000000017,,,8907.0,49.796440000000054,2447.0,6,False,False,1
2019-02-16,44.099799999999995,-0.899999999999999,,,8907.0,49.79644000000005,2447.0,7,False,False,1
2019-02-18,17.631,1.3999999999999995,,,8907.0,49.79644,2447.0,2,False,False,1
2019-02-19,113.55579999999999,2.5999999999999965,,,8907.0,49.79644000000005,2447.0,3,False,False,1
2019-02-20,106.3786,1.4000000000000012,,,8907.0,49.79644000000005,2447.0,4,False,False,1
2019-02-21,44.7392,2.6999999999999984,,,8907.0,49.79644000000005,2447.0,5,False,False,1
2019-02-22,63.86279999999997,-0.7000000000000008,,,8907.0,49.796440000000054,2447.0,6,False,False,1
2019-02-23,57.68100000000001,-4.699999999999995,,,8907.0,49.79644000000005,2447.0,7,False,False,1
2019-02-25,39.0086,-1.8,,,8907.0,49.79643999999999,2447.0,2,False,False,1
2019-02-26,119.68420000000002,-0.7000000000000007,,,8907.0,49.79644000000005,2447.0,3,False,False,1
2019-02-27,61.1442,1.799999999999998,,,8907.0,49.79644000000005,2447.0,4,False,False,1
2019-02-28,104.36379999999997,2.4000000000000035,,,8907.0,49.796440000000054,2447.0,5,False,False,1
2019-03-01,73.9744,4.0,,,10021.0,49.796440000000054,2586.0,6,False,False,1
2019-03-02,48.2596,2.9000000000000026,,,10021.0,49.79644000000005,2586.0,7,False,False,1
2019-03-04,31.144999999999996,6.2,,,10021.0,49.796440000000004,2586.0,2,False,False,1
2019-03-05,98.69459999999998,6.199999999999992,,,10021.0,49.796440000000054,2586.0,3,False,False,1
2019-03-06,70.22439999999997,2.400000000000003,,,10021.0,49.79644000000005,2586.0,4,False,False,1
2019-03-07,56.814800000000005,5.699999999999993,,,10021.0,49.796440000000054,2586.0,5,False,False,1
2019-03-08,92.10699999999997,10.0,,,10021.0,49.79644000000006,2586.0,6,False,False,1
2019-03-09,77.6666,7.6999999999999975,,,10021.0,49.796440000000054,2586.0,7,False,False,1
2019-03-11,39.747,6.699999999999998,,,10021.0,49.796440000000004,2586.0,2,False,False,1
2019-03-12,125.81079999999997,2.3000000000000016,,,10021.0,49.796440000000054,2586.0,3,False,False,1
2019-03-13,87.01339999999998,-1.799999999999998,,,10021.0,49.79644000000005,2586.0,4,False,False,1
2019-03-14,96.03980000000001,3.3000000000000043,,,10021.0,49.79644000000005,2586.0,5,False,False,1
2019-03-15,121.77380000000001,4.800000000000008,,,10021.0,49.796440000000054,2586.0,6,False,False,1
2019-03-16,53.10859999999999,3.8000000000000043,,,10021.0,49.79644000000005,2586.0,7,False,False,1
2019-03-18,68.9526,10.199999999999996,,,10021.0,49.796440000000004,2586.0,2,False,False,1
2019-03-19,78.64460000000001,7.0,,,10021.0,49.79644000000005,2586.0,3,False,False,1
2019-03-20,72.69219999999999,7.199999999999992,,,10021.0,49.79644000000005,2586.0,4,False,False,1
2019-03-21,53.19879999999999,6.300000000000007,,,10021.0,49.79644000000005,2586.0,5,False,False,1
2019-03-22,102.63940000000002,7.100000000000011,,,10021.0,49.796440000000054,2586.0,6,False,False,1
2019-03-23,97.88459999999998,7.300000000000008,,,10021.0,49.79644000000005,2586.0,7,False,False,1
2019-03-25,109.3584,8.400000000000004,,,10021.0,49.79644,2586.0,2,False,False,1
2019-03-26,173.65920000000006,5.699999999999992,,,10021.0,49.796440000000054,2586.0,3,False,False,1
2019-03-27,77.09499999999997,2.6999999999999966,,,10021.0,49.796440000000054,2586.0,4,False,False,1
2019-03-28,87.6218,3.8000000000000056,,,10021.0,49.796440000000054,2586.0,5,False,False,1
2019-03-29,84.26659999999997,5.89999999999999,,,10021.0,49.796440000000054,2586.0,6,False,False,1
2019-03-30,88.2794,8.300000000000006,,,10021.0,49.79644000000004,2586.0,7,False,False,1
2019-04-01,27.573200000000003,11.699999999999994,,,11759.0,49.79644000000001,2567.0,2,False,False,2
2019-04-02,101.80139999999994,8.799999999999986,,,11759.0,49.796440000000054,2567.0,3,False,False,2
2019-04-03,59.55599999999999,10.100000000000014,,,11759.0,49.796440000000054,2567.0,4,False,False,2
2019-04-04,67.6998,9.79999999999999,,,11759.0,49.796440000000054,2567.0,5,False,False,2
2019-04-05,158.534,11.899999999999999,,,11759.0,49.796440000000054,2567.0,6,False,False,2
2019-04-06,132.151,13.899999999999999,,,11759.0,49.796440000000054,2567.0,7,False,False,2
2019-04-08,62.083200000000005,13.100000000000005,,,11759.0,49.79644000000001,2567.0,2,False,False,2
2019-04-09,118.06400000000005,14.900000000000018,,,11759.0,49.796440000000054,2567.0,3,False,False,2
2019-04-10,141.8132,15.5,,,11759.0,49.796440000000054,2567.0,4,False,False,2
2019-04-11,150.56779999999998,12.799999999999978,,,11759.0,49.796440000000054,2567.0,5,False,False,2
2019-04-12,212.5029999999999,12.0,,,11759.0,49.79644000000006,2567.0,6,False,False,2
2019-04-13,107.40959999999997,11.100000000000014,,,11759.0,49.796440000000054,2567.0,7,False,False,2
2019-04-15,176.57799999999997,9.300000000000006,,,11759.0,49.79644000000001,2567.0,2,False,False,2
2019-04-16,143.85619999999992,8.600000000000014,,,11759.0,49.796440000000054,2567.0,3,False,False,2
2019-04-17,118.96339999999996,7.899999999999987,,,11759.0,49.796440000000054,2567.0,4,False,False,2
2019-04-18,162.7694,8.5,,,11759.0,49.796440000000054,2567.0,5,False,False,2
2019-04-19,121.91319999999995,9.899999999999995,,,11759.0,49.79644000000006,2567.0,6,False,False,2
2019-04-20,84.38119999999999,9.899999999999986,,,11759.0,49.796440000000054,2567.0,7,False,False,2
2019-04-22,109.15999999999998,8.699999999999996,,,11759.0,49.79644000000001,2567.0,2,False,False,2
2019-04-23,166.31539999999998,11.599999999999998,,,11759.0,49.79644000000006,2567.0,3,False,False,2
2019-04-24,198.9341999999999,14.099999999999977,,,11759.0,49.79644000000006,2567.0,4,False,False,2
2019-04-25,140.12819999999994,15.5,,,11759.0,49.796440000000054,2567.0,5,False,False,2
2019-04-26,195.55300000000003,18.0,,,11759.0,49.79644000000006,2567.0,6,False,True,2
2019-04-27,46.95859999999999,17.0,,,11759.0,49.79644000000004,2567.0,7,False,False,2
2019-04-30,17.9778,11.5,,,11759.0,49.79644000000001,2567.0,3,False,True,2
2019-05-01,35.1442,9.800000000000008,,,16639.0,49.796440000000025,2522.0,4,True,True,2
2019-05-02,40.5418,10.799999999999999,,,16639.0,49.79644000000005,2522.0,5,True,False,2
2019-05-03,197.89699999999993,14.700000000000024,,,16639.0,49.796440000000054,2522.0,6,True,False,2
2019-05-04,47.10460000000001,14.200000000000014,,,16639.0,49.79644000000005,2522.0,7,True,False,2
2019-05-06,16.676000000000002,12.099999999999998,,,16639.0,49.79644,2522.0,2,True,False,2
2019-05-07,119.41440000000003,5.699999999999994,,,16639.0,49.79644000000005,2522.0,3,True,False,2
2019-05-08,57.713800000000006,8.199999999999998,,,16639.0,49.79644000000005,2522.0,4,True,False,2
2019-05-09,120.73839999999997,10.899999999999984,,,16639.0,49.796440000000054,2522.0,5,True,False,2
2019-05-10,117.99859999999995,11.100000000000005,,,16639.0,49.796440000000054,2522.0,6,True,False,2
2019-05-11,84.07280000000003,12.399999999999986,,,16639.0,49.79644000000005,2522.0,7,True,False,2
2019-05-13,56.8782,16.89999999999999,,,16639.0,49.79644000000002,2522.0,2,True,False,2
2019-05-14,122.84039999999997,13.900000000000011,,,16639.0,49.796440000000054,2522.0,3,True,False,2
2019-05-15,76.00200000000002,15.700000000000024,,,16639.0,49.796440000000054,2522.0,4,True,False,2
2019-05-16,138.64180000000002,12.700000000000019,,,16639.0,49.796440000000054,2522.0,5,True,False,2
2019-05-17,122.13080000000002,16.5,,,16639.0,49.79644000000006,2522.0,6,True,False,2
2019-05-18,76.28599999999996,16.0,,,16639.0,49.79644000000005,2522.0,7,True,False,2
2019-05-20,114.28460000000001,17.600000000000012,,,16639.0,49.796440000000025,2522.0,2,True,False,2
2019-05-21,149.9382,12.799999999999976,,,16639.0,49.796440000000054,2522.0,3,True,False,2
2019-05-22,95.26940000000002,13.9,,,16639.0,49.796440000000054,2522.0,4,True,False,2
2019-05-23,81.51479999999998,13.5,,,16639.0,49.796440000000054,2522.0,5,True,False,2
2019-05-24,116.84699999999995,15.09999999999999,,,16639.0,49.796440000000054,2522.0,6,True,False,2
2019-05-25,44.38399999999999,15.899999999999984,,,16639.0,49.79644000000005,2522.0,7,True,False,2
2019-05-27,128.52300000000002,19.299999999999994,,,16639.0,49.796440000000025,2522.0,2,True,False,2
2019-05-28,189.56199999999995,21.099999999999966,,,16639.0,49.796440000000054,2522.0,3,True,False,2
